Palabra	 Nula[%]	 Baja[%] 	 Media[%]	 Alta[%]	 PFA	Categoría
abundancia	0	0	50	50	0.83	Alegría
acabalar	40	0	60	0	0.396	Alegría
acallar	50	40	10	0	0.198	Alegría
acatar	50	40	10	0	0.198	Alegría
acción	30	30	30	10	0.397	Alegría
aceptable	0	20	80	0	0.594	Alegría
aceptación	0	20	50	30	0.696	Alegría
acicate	10	50	40	0	0.429	Alegría
aclamación	10	10	10	70	0.799	Alegría
aclamar	10	10	10	70	0.799	Alegría
acogedor	0	0	50	50	0.83	Alegría
acoger	0	10	60	30	0.729	Alegría
acomodadamente	0	10	60	30	0.729	Alegría
acuciar	30	60	10	0	0.264	Alegría
acucioso	50	40	0	10	0.232	Alegría
vivir	10	20	40	30	0.63	Alegría
abominable	10	40	30	20	0.53	Enojo
abominación	10	60	10	20	0.464	Enojo
abominar	0	20	50	30	0.696	Enojo
aborrecer	10	0	30	60	0.798	Enojo
aborrecible	0	10	60	30	0.729	Enojo
aborreciblemente	10	10	60	20	0.629	Enojo
aborrecimiento	0	30	40	30	0.663	Enojo
abusar	20	30	40	10	0.463	Enojo
acometedor	10	50	30	10	0.463	Enojo
acometer	10	50	20	20	0.497	Enojo
acometiente	20	40	20	20	0.464	Enojo
acometimiento	20	50	10	20	0.431	Enojo
acometividad	20	50	20	10	0.397	Enojo
abominable	0	10	40	50	0.797	Miedo
accidente	0	20	50	30	0.696	Miedo
acobardar	0	10	20	70	0.865	Miedo
acomplejado	0	50	20	30	0.597	Miedo
acoquinamiento	10	40	10	40	0.598	Miedo
acoquinar	0	10	30	60	0.831	Miedo
agüero	40	30	30	0	0.297	Miedo
ahuyentar	0	20	50	30	0.696	Miedo
alarma	0	40	40	20	0.596	Miedo
alarmado	0	10	70	20	0.695	Miedo
alarmante	0	30	60	10	0.595	Miedo
alarmar	0	40	30	30	0.63	Miedo
alertar	10	40	30	20	0.53	Miedo
alma	80	20	0	0	0.066	Miedo
amedentrar	0	0	30	70	0.898	Miedo
amedrentador	0	10	30	60	0.831	Miedo
amedrentamiento	0	10	30	60	0.831	Miedo
amenazar	0	10	20	70	0.865	Miedo
amilanar	0	10	30	60	0.831	Miedo
angustia	0	10	40	50	0.797	Miedo
angustiado	0	10	30	60	0.831	Miedo
angustiosamente	0	10	30	60	0.831	Miedo
ansioso	40	40	20	0	0.264	Miedo
aprensión	30	30	30	10	0.397	Miedo
aprensivo	30	40	20	10	0.364	Miedo
araña 	20	30	40	10	0.463	Miedo
arredrar	20	30	40	10	0.463	Miedo
abominablemente	0	20	40	40	0.73	Repulsión
abominar	0	10	40	50	0.797	Repulsión
aborrecer	0	0	10	90	0.966	Repulsión
aborrecible	0	0	10	90	0.966	Repulsión
aborrecimiento 	0	0	10	90	0.966	Repulsión
abusar	10	10	40	40	0.697	Repulsión
adversión 	30	10	40	20	0.497	Repulsión
alergia 	30	30	30	10	0.397	Repulsión
ampolla	30	10	40	20	0.497	Repulsión
animadversión 	10	20	30	40	0.664	Repulsión
animosidad 	40	30	30	0	0.297	Repulsión
antipatía 	0	20	60	20	0.662	Repulsión
antipático	0	0	80	20	0.728	Repulsión
apestar	0	10	30	60	0.831	Repulsión
apestoso	0	10	10	80	0.899	Repulsión
aprensión 	10	30	50	10	0.529	Repulsión
araña	20	30	50	0	0.429	Repulsión
asco 	0	0	10	90	0.966	Repulsión
asqueadamente	0	0	20	80	0.932	Repulsión
asquear	0	0	20	80	0.932	Repulsión
asquerosamente	0	0	10	90	0.966	Repulsión
asqueroso	0	0	0	100	1	Repulsión
astroso	10	10	60	20	0.629	Repulsión
zahiriente	0	30	20	50	0.731	Repulsión
abierto	50	20	20	10	0.298	Sorpresa
abobamiento	60	30	0	10	0.199	Sorpresa
abobar	50	20	20	10	0.298	Sorpresa
acertijo	20	30	20	30	0.531	Sorpresa
acojonante	10	0	50	40	0.73	Sorpresa
adivinanza	30	20	20	30	0.498	Sorpresa
admirable	10	0	50	40	0.73	Sorpresa
admirablemente	10	10	50	30	0.663	Sorpresa
admiracion	20	0	40	40	0.664	Sorpresa
admiración	10	0	40	50	0.764	Sorpresa
admirar	10	0	50	40	0.73	Sorpresa
agenciar	60	20	20	0	0.198	Sorpresa
alcanzar	50	30	10	10	0.265	Sorpresa
alelamiento	40	60	0	0	0.198	Sorpresa
alelar	60	40	0	0	0.132	Sorpresa
anonadamiento	10	10	20	60	0.765	Sorpresa
anonadar	10	10	30	50	0.731	Sorpresa
apoteósico	20	20	20	40	0.598	Sorpresa
arrocinar	60	30	10	0	0.165	Sorpresa
asombramiento	0	0	20	80	0.932	Sorpresa
abajamiento	20	30	30	20	0.497	Tristeza
abajo 	20	60	10	10	0.364	Tristeza
abandonamiento	0	10	20	70	0.865	Tristeza
abandonar	0	0	30	70	0.898	Tristeza
abatidamente	0	20	10	70	0.832	Tristeza
abatido	0	10	20	70	0.865	Tristeza
abatimiento	0	20	20	60	0.798	Tristeza
abatir	0	30	10	60	0.765	Tristeza
abochornar	50	20	30	0	0.264	Tristeza
abrumar 	30	20	40	10	0.43	Tristeza
aburrir	30	60	10	0	0.264	Tristeza
aciago	10	30	40	20	0.563	Tristeza
acongojar	0	0	60	40	0.796	Tristeza
acuitadamente	0	70	20	10	0.463	Tristeza
acuitar	0	40	50	10	0.562	Tristeza
adolecer	0	50	30	20	0.563	Tristeza
adverso	30	20	30	20	0.464	Tristeza
aflicción	0	20	30	50	0.764	Tristeza
afligidamente	0	0	50	50	0.83	Tristeza
afligido	0	0	50	50	0.83	Tristeza
afligir	0	0	60	40	0.796	Tristeza
agobiado	0	20	30	50	0.764	Tristeza
